"Date","OD","Trt","Conc","of.milligram","Rep","Solvent","Day","Age","Culture","Medium.Batch","OD.Hrs","Strain","Comments","StrCon"
"10/1/17",0,"Manuka",80,1,5,"LB",2,2,2,1,24,"Manuka80","","Manuka80"
"10/1/17",0,"Local",260,1,1,"LB",2,2,2,1,24,"Local260","","Local260"
"10/1/17",0,"Local",260,1,2,"LB",2,2,2,1,24,"Local260","","Local260"
"10/1/17",0,"Local",260,1,3,"LB",2,2,2,1,24,"Local260","","Local260"
"10/1/17",0,"Local",260,1,4,"LB",2,2,2,1,24,"Local260","","Local260"
"10/1/17",0,"Local",260,1,5,"LB",2,2,2,1,24,"Local260","","Local260"
"10/1/17",1.28,"Glu",6,1,1,"LB",2,1,1,1,24,"Glu6","","Glu6"
"10/1/17",0.93,"Glu",6,1,2,"LB",2,1,1,1,24,"Glu6","","Glu6"
"10/1/17",1.02,"Glu",6,1,3,"LB",2,1,1,1,24,"Glu6","","Glu6"
"10/1/17",0.79,"Glu",16,1,1,"LB",2,1,1,1,24,"Glu16","","Glu16"
"10/1/17",0.88,"Glu",16,1,2,"LB",2,1,1,1,24,"Glu16","","Glu16"
"10/1/17",0.79,"Glu",16,1,3,"LB",2,1,1,1,24,"Glu16","","Glu16"
"10/2/17",1.81,"Control",0,1,1,"LB",3,3,3,1,24,"Control","","Control"
"10/2/17",1.92,"Control",0,1,2,"LB",3,3,3,1,24,"Control","","Control"
"10/2/17",1.69,"Control",0,1,3,"LB",3,3,3,1,24,"Control","","Control"
"10/2/17",0.92,"Manuka",80,1,1,"LB",3,1,1,1,24,"Manuka80","","Manuka80"
"10/2/17",1.01,"Manuka",80,1,2,"LB",3,1,1,1,24,"Manuka80","","Manuka80"
"10/2/17",0.89,"Manuka",80,1,3,"LB",3,1,1,1,24,"Manuka80","","Manuka80"
"10/2/17",0.83,"Manuka",80,1,4,"LB",3,1,1,1,24,"Manuka80","","Manuka80"
"10/2/17",0.96,"Manuka",80,1,5,"LB",3,1,1,1,24,"Manuka80","","Manuka80"
"10/2/17",1.31,"Glu",6,1,1,"LB",3,2,2,1,24,"Glu6","","Glu6"
"10/2/17",1.05,"Glu",6,1,2,"LB",3,2,2,1,24,"Glu6","","Glu6"
"10/2/17",1.26,"Glu",6,1,3,"LB",3,2,2,1,24,"Glu6","","Glu6"
"10/2/17",0.92,"Glu",16,1,1,"LB",3,2,2,1,24,"Glu16","","Glu16"
"10/2/17",0.83,"Glu",16,1,2,"LB",3,2,2,1,24,"Glu16","","Glu16"
"10/2/17",0.82,"Glu",16,1,3,"LB",3,2,2,1,24,"Glu16","","Glu16"
"10/3/17",1.8,"Control",0,1,1,"LB",4,4,4,1,24,"Control","","Control"
"10/3/17",1.87,"Control",0,1,2,"LB",4,4,4,1,24,"Control","","Control"
"10/3/17",1.93,"Control",0,1,3,"LB",4,4,4,1,24,"Control","","Control"
"10/3/17",0,"Manuka",80,1,1,"LB",4,2,2,1,24,"Manuka80","","Manuka80"
"10/3/17",0,"Manuka",80,1,2,"LB",4,2,2,1,24,"Manuka80","","Manuka80"
"10/3/17",0,"Manuka",80,1,3,"LB",4,2,2,1,24,"Manuka80","","Manuka80"
"10/3/17",0,"Manuka",80,1,4,"LB",4,2,2,1,24,"Manuka80","","Manuka80"
"10/3/17",0,"Manuka",80,1,5,"LB",4,2,2,1,24,"Manuka80","","Manuka80"
"10/3/17",0.81,"Local",260,1,1,"LB",4,1,1,1,24,"Local260","","Local260"
"10/3/17",0.81,"Local",260,1,2,"LB",4,1,1,1,24,"Local260","","Local260"
"10/3/17",0.82,"Local",260,1,3,"LB",4,1,1,1,24,"Local260","","Local260"
"10/3/17",0.85,"Local",260,1,4,"LB",4,1,1,1,24,"Local260","","Local260"
"10/3/17",0.79,"Local",260,1,5,"LB",4,1,1,1,24,"Local260","","Local260"
"10/3/17",1.06,"Glu",6,1,1,"LB",4,3,3,1,24,"Glu6","","Glu6"
"10/3/17",1.09,"Glu",6,1,2,"LB",4,3,3,1,24,"Glu6","","Glu6"
"10/3/17",1.14,"Glu",6,1,3,"LB",4,3,3,1,24,"Glu6","","Glu6"
"10/3/17",0.85,"Glu",16,1,1,"LB",4,3,3,1,24,"Glu16","","Glu16"
"10/3/17",0.89,"Glu",16,1,2,"LB",4,3,3,1,24,"Glu16","","Glu16"
"10/3/17",0.84,"Glu",16,1,3,"LB",4,3,3,1,24,"Glu16","","Glu16"
"10/4/17",1.88,"Control",0,1,1,"LB",5,5,5,1,24,"Control","","Control"
"10/4/17",1.74,"Control",0,1,2,"LB",5,5,5,1,24,"Control","","Control"
"10/4/17",1.79,"Control",0,1,3,"LB",5,5,5,1,24,"Control","","Control"
"10/4/17",1.37,"Manuka",70,1,1,"LB",5,1,1,1,24,"M.48","","Manuka70"
"10/4/17",1.29,"Manuka",70,1,2,"LB",5,1,1,1,24,"M.48","","Manuka70"
"10/4/17",1.15,"Manuka",70,1,3,"LB",5,1,1,1,24,"M.48","","Manuka70"
"10/4/17",1.29,"Manuka",70,1,4,"LB",5,1,1,1,24,"M.48","","Manuka70"
"10/4/17",1.34,"Manuka",70,1,5,"LB",5,1,1,1,24,"M.48","","Manuka70"
"10/4/17",0,"Local",260,1,1,"LB",5,2,2,1,24,"Local260","","Local260"
"10/4/17",0,"Local",260,1,2,"LB",5,2,2,1,24,"Local260","","Local260"
"10/4/17",0,"Local",260,1,3,"LB",5,2,2,1,24,"Local260","","Local260"
"10/4/17",0,"Local",260,1,4,"LB",5,2,2,1,24,"Local260","","Local260"
"10/4/17",0,"Local",260,1,5,"LB",5,2,2,1,24,"Local260","","Local260"
"10/4/17",1.08,"Glu",6,1,1,"LB",5,4,4,1,24,"Glu6","","Glu6"
"10/4/17",1.01,"Glu",6,1,2,"LB",5,4,4,1,24,"Glu6","","Glu6"
"10/4/17",1.04,"Glu",6,1,3,"LB",5,4,4,1,24,"Glu6","","Glu6"
"10/4/17",1.04,"Glu",16,1,1,"LB",5,4,4,1,24,"Glu16","","Glu16"
"10/4/17",1.07,"Glu",16,1,2,"LB",5,4,4,1,24,"Glu16","","Glu16"
"10/4/17",1.06,"Glu",16,1,3,"LB",5,4,4,1,24,"Glu16","","Glu16"
"10/5/17",0,"Manuka",70,1,1,"LB",6,2,2,1,24,"Manuka70","","Manuka70"
"10/5/17",0,"Manuka",70,1,2,"LB",6,2,2,1,24,"Manuka70","","Manuka70"
"10/5/17",0,"Manuka",70,1,3,"LB",6,2,2,1,24,"Manuka70","","Manuka70"
"10/5/17",0,"Manuka",70,1,4,"LB",6,2,2,1,24,"Manuka70","","Manuka70"
"10/5/17",0,"Manuka",70,1,5,"LB",6,2,2,1,24,"Manuka70","","Manuka70"
"10/5/17",1.11,"Local",210,1,1,"LB",6,1,1,1,24,"Local210","","Local210"
"10/5/17",1.04,"Local",210,1,1,"LB",6,1,1,1,24,"Local210","","Local210"
"10/5/17",0.93,"Local",210,1,1,"LB",6,1,1,1,24,"Local210","","Local210"
"10/5/17",0.98,"Local",210,1,1,"LB",6,1,1,1,24,"Local210","","Local210"
"10/5/17",0.99,"Local",210,1,1,"LB",6,1,1,1,24,"Local210","","Local210"
"10/5/17",1.04,"Glu",6,1,1,"LB",6,5,5,1,24,"Glu6","","Glu6"
"10/5/17",1.02,"Glu",6,1,2,"LB",6,5,5,1,24,"Glu6","","Glu6"
"10/5/17",1.09,"Glu",6,1,3,"LB",6,5,5,1,24,"Glu6","","Glu6"
"10/5/17",0.98,"Glu",16,1,1,"LB",6,5,5,1,24,"Glu16","","Glu16"
"10/5/17",0.91,"Glu",16,1,2,"LB",6,5,5,1,24,"Glu16","","Glu16"
"10/5/17",0.92,"Glu",16,1,3,"LB",6,5,5,1,24,"Glu16","","Glu16"
"10/6/17",1.47,"Manuka",50,1,1,"LB",7,1,1,1,24,"Manuka50","","Manuka50"
"10/6/17",1.16,"Manuka",50,1,2,"LB",7,1,1,1,24,"Manuka50","","Manuka50"
"10/6/17",1.21,"Manuka",60,1,1,"LB",7,1,1,1,24,"Manuka60","","Manuka60"
"10/6/17",1.27,"Manuka",60,1,2,"LB",7,1,1,1,24,"Manuka60","","Manuka60"
"10/6/17",1.4,"Manuka",60,1,3,"LB",7,1,1,1,24,"Manuka60","","Manuka60"
"10/6/17",1.36,"Manuka",60,1,4,"LB",7,1,1,1,24,"Manuka60","","Manuka60"
"10/6/17",1.27,"Manuka",60,1,5,"LB",7,1,1,1,24,"Manuka60","","Manuka60"
"10/6/17",1.3,"Manuka",70,1,1,"LB",7,3,2,1,48,"M.48","","Manuka70"
"10/6/17",1.36,"Manuka",70,1,2,"LB",7,3,2,1,48,"M.48","","Manuka70"
"10/6/17",0,"Local",210,1,1,"LB",7,2,2,1,24,"Local210","","Local210"
"10/6/17",0,"Local",210,1,2,"LB",7,2,2,1,24,"Local210","","Local210"
"10/6/17",0,"Local",210,1,3,"LB",7,2,2,1,24,"Local210","","Local210"
"10/6/17",0,"Local",210,1,4,"LB",7,2,2,1,24,"Local210","","Local210"
"10/6/17",0,"Local",210,1,5,"LB",7,2,2,1,24,"Local210","","Local210"
"10/6/17",0,"Local",160,1,1,"LB",7,2,2,1,24,"Local160","innoculated from Local 210 G1 ","Local160"
"10/6/17",0,"Local",160,1,2,"LB",7,2,2,1,24,"Local160","innoculated from Local 210 G1 ","Local160"
"10/7/17",1.16,"Manuka",50,1,1,"LB",8,2,2,1,24,"Manuka50","","Manuka50"
"10/7/17",1.19,"Manuka",50,1,2,"LB",8,2,2,1,24,"Manuka50","","Manuka50"
"10/7/17",1.23,"Manuka",60,1,1,"LB",8,2,2,1,24,"Manuka60","","Manuka60"
"10/7/17",1.09,"Manuka",60,1,2,"LB",8,2,2,1,24,"Manuka60","","Manuka60"
"10/7/17",1.15,"Manuka",60,1,3,"LB",8,2,2,1,24,"Manuka60","","Manuka60"
"10/7/17",1.16,"Local",160,1,1,"LB",8,1,1,1,24,"Local160","","Local160"
"10/7/17",1.08,"Local",160,1,2,"LB",8,1,1,1,24,"Local160","","Local160"
"10/7/17",0.98,"Local",210,1,1,"LB",8,1,1,1,24,"Local210","","Local210"
"10/7/17",0.99,"Local",210,1,2,"LB",8,1,1,1,24,"Local210","","Local210"
"10/7/17",0.85,"Local",210,1,3,"LB",8,1,1,1,24,"Local210","","Local210"
"10/8/17",1.16,"Manuka",50,1,1,"LB",9,3,3,1,24,"Manuka50","","Manuka50"
"10/8/17",1.17,"Manuka",50,1,2,"LB",9,3,3,1,24,"Manuka50","","Manuka50"
"10/8/17",1.19,"Manuka",60,1,1,"LB",9,3,3,1,24,"Manuka60","","Manuka60"
"10/8/17",1.37,"Manuka",60,1,2,"LB",9,3,3,1,24,"Manuka60","","Manuka60"
"10/8/17",1.21,"Manuka",60,1,3,"LB",9,3,3,1,24,"Manuka60","","Manuka60"
"10/8/17",1.29,"Manuka",70,1,1,"LB",9,5,3,1,48,"M.48","","Manuka70"
"10/8/17",1.41,"Manuka",70,1,2,"LB",9,5,3,1,48,"M.48","","Manuka70"
"10/8/17",1.1,"Local",140,1,1,"LB",9,1,1,1,24,"Local140","","Local140"
"10/8/17",1.23,"Local",140,1,2,"LB",9,1,1,1,24,"Local140","","Local140"
"10/8/17",0.29,"Local",160,1,1,"LB",9,2,2,1,24,"Local160","","Local160"
"10/8/17",0,"Local",160,1,2,"LB",9,2,2,1,24,"Local160","","Local160"
"10/8/17",1,"Local",180,1,1,"LB",9,1,1,1,24,"Local180","","Local180"
"10/8/17",1.17,"Local",180,1,2,"LB",9,1,1,1,24,"Local180","","Local180"
"10/9/17",1.4,"Manuka",50,1,1,"LB",10,4,4,1,24,"Manuka50","","Manuka50"
"10/9/17",1.33,"Manuka",50,1,2,"LB",10,4,4,1,24,"Manuka50","","Manuka50"
"10/9/17",1.31,"Manuka",60,1,1,"LB",10,4,4,1,24,"Manuka60","","Manuka60"
"10/9/17",1.36,"Manuka",60,1,2,"LB",10,4,4,1,24,"Manuka60","","Manuka60"
"10/9/17",1.35,"Manuka",60,1,3,"LB",10,4,4,1,24,"Manuka60","","Manuka60"
"10/9/17",0.49,"Local",140,1,1,"LB",10,2,2,1,24,"Local140","","Local140"
"10/9/17",0,"Local",140,1,2,"LB",10,2,2,1,24,"Local140","","Local140"
"10/9/17",0.39,"Local",140,1,3,"LB",10,2,2,1,24,"Local140","","Local140"
"10/9/17",1.2,"Local",160,1,1,"LB",10,3,3,1,24,"Local160","","Local160"
"10/9/17",1.03,"Local",160,1,2,"LB",10,3,3,1,24,"Local160","","Local160"
"10/10/17",1.42,"Manuka",50,1,1,"LB",11,5,5,1,24,"Manuka50","","Manuka50"
"10/10/17",1.46,"Manuka",50,1,2,"LB",11,5,5,1,24,"Manuka50","","Manuka50"
"10/10/17",1.32,"Manuka",60,1,1,"LB",11,5,5,1,24,"Manuka60","","Manuka60"
"10/10/17",1.38,"Manuka",60,1,2,"LB",11,5,5,1,24,"Manuka60","","Manuka60"
"10/10/17",1.25,"Manuka",60,1,3,"LB",11,5,5,1,24,"Manuka60","","Manuka60"
"10/10/17",1.5,"Manuka",70,1,1,"LB",11,7,4,1,48,"M.48","","Manuka70"
"10/10/17",1.17,"Manuka",70,1,2,"LB",11,7,4,1,48,"M.48","","Manuka70"
"10/10/17",1.27,"Local",140,1,1,"LB",11,3,3,2,24,"Local140","","Local140"
"10/10/17",1.15,"Local",140,1,2,"LB",11,3,3,2,24,"Local140","","Local140"
"10/10/17",1.15,"Local",160,1,1,"LB",11,4,4,2,24,"Local160","","Local160"
"10/10/17",1.15,"Local",160,1,2,"LB",11,4,4,2,24,"Local160","","Local160"
"10/11/17",1.12,"Local",140,1,1,"LB",12,4,4,2,24,"Local140","","Local140"
"10/11/17",1.04,"Local",140,1,2,"LB",12,4,4,2,24,"Local140","","Local140"
"10/11/17",1.12,"Local",140,1,3,"LB",12,4,4,2,24,"Local140","","Local140"
"10/11/17",1.05,"Local",160,1,1,"LB",12,5,5,2,24,"Local160","","Local160"
"10/11/17",0.96,"Local",160,1,2,"LB",12,5,5,2,24,"Local160","","Local160"
"10/11/17",1.01,"Local",160,1,3,"LB",12,5,5,2,24,"Local160","","Local160"
"10/12/17",1.67,"Manuka",70,1,1,"LB",13,9,5,1,48,"M.48","","Manuka70"
"10/12/17",1.32,"Manuka",70,1,2,"LB",13,9,5,1,48,"M.48","","Manuka70"
"10/12/17",1.06,"Local",140,1,1,"LB",13,5,5,2,24,"Local140","","Local140"
"10/12/17",1.04,"Local",140,1,2,"LB",13,5,5,2,24,"Local140","","Local140"
"10/12/17",1.04,"Local",140,1,3,"LB",13,5,5,2,24,"Local140","","Local140"
